"id","ts","stage","stage_name","spectrum","temp1","temp2","humidity","soil_pct","light_lux","vibration","pump_on","pump_status","light_hrs_today","harvest_eta_days","health_score"
"2","2026-04-11 17:07:39","0","Seedling","OFF","31","31","92","100","250.3","0","0","IDLE","3.18","14","80"
"3","2026-04-11 17:17:40","0","Seedling","OFF","31","31","90","100","225.9","0","0","IDLE","3.34","14","80"
"4","2026-04-11 17:27:41","0","Seedling","OFF","31","31","89.5","99.9","214.7","0","0","IDLE","3.51","14","80"
"5","2026-03-31 03:02:57","0","Seedling","OFF","45","0","45","45","45","0","0","OK","0","0","0"
"6","2026-03-31 03:04:02","0","Seedling","OFF","45","0","45","50","45","0","0","OK","0","0","0"
"7","2026-03-31 03:13:30","0","Seedling","OFF","45","0","45","48.5","45","0","0","OK","0","0","0"
"8","2026-03-31 03:13:33","0","Seedling","OFF","26.2","0","45","48.5","45","0","0","OK","0","0","0"
"9","2026-03-31 03:13:36","0","Seedling","OFF","26.2","0","58","48.5","45","0","0","OK","0","0","0"
"10","2026-03-31 03:13:40","0","Seedling","OFF","26.2","0","58","48.5","410","0","0","OK","0","0","0"
"11","2026-03-31 03:13:46","0","Seedling","OFF","26.2","0","58","35","410","0","0","OK","0","0","0"
"12","2026-03-31 03:13:49","0","Seedling","OFF","30","0","58","35","410","0","0","OK","0","0","0"
"13","2026-03-31 03:13:51","0","Seedling","OFF","30","0","48","35","410","0","0","OK","0","0","0"
"14","2026-03-31 03:13:54","0","Seedling","OFF","30","0","48","35","520","0","0","OK","0","0","0"
"15","2026-04-06 16:39:46","0","Seedling","OFF","31.5","0","82.5","87.1","0","0","0","OK","0","0","0"
"16","2026-04-06 16:49:46","0","Seedling","OFF","31.5","0","81","82.8","0","0","0","OK","0","0","0"
"17","2026-04-06 16:59:48","0","Seedling","OFF","31.5","0","80.5","79.8","0","0","0","OK","0","0","0"
"18","2026-04-06 17:09:49","0","Seedling","OFF","31.5","0","80.5","77.4","0","0","0","OK","0","0","0"
"19","2026-04-06 17:19:49","0","Seedling","OFF","31.5","0","83.5","81.4","0","0","0","OK","0","0","0"
"20","2026-04-06 17:29:50","0","Seedling","OFF","31.5","0","77","83.4","0","0","0","OK","0","0","0"
"21","2026-04-06 17:39:51","0","Seedling","OFF","31.5","0","83","80.6","0","0","0","OK","0","0","0"
"22","2026-04-06 17:49:52","0","Seedling","OFF","31.5","0","83","78.7","0","0","0","OK","0","0","0"
"23","2026-04-06 17:59:53","0","Seedling","OFF","31.5","0","81.5","82.6","0","0","0","OK","0","0","0"
"24","2026-04-06 18:19:56","0","Seedling","OFF","31.5","0","85","83.4","0","0","0","OK","0","0","0"
"25","2026-04-06 18:29:57","0","Seedling","OFF","31.5","0","82.5","80.3","0","0","0","OK","0","0","0"
"26","2026-04-07 03:43:10","1","Vegetative","Blue","23.5","0","62","45","280","0","0","OK","8","18","82"
"27","2026-04-07 03:43:10","1","Vegetative","Blue","24","0","60","47","300","0","0","OK","9","17","84"
"28","2026-04-07 03:43:10","1","Vegetative","Blue","24.5","0","58","50","320","0","0","OK","10","16","86"
"29","2026-04-07 03:43:10","1","Vegetative","Blue","25","0","56","52","340","0","0","OK","11","15","87"
"30","2026-04-07 03:43:10","1","Vegetative","Blue","24.2","0","59","49","310","0","0","OK","10.5","15","85"
"31","2026-04-07 03:43:10","1","Vegetative","Blue","23.8","0","61","46","290","0","0","OK","9.5","14","83"
"32","2026-04-07 03:43:10","1","Vegetative","Blue","23.3","0","63","44","270","0","0","OK","8.5","13","81"
"33","2026-04-07 03:43:10","1","Vegetative","Blue","24.1","0","60","48","305","0","0","OK","9.8","12","84"
"34","2026-04-07 03:43:10","1","Vegetative","Blue","24.7","0","57","51","330","0","0","OK","10.8","11","86"
"35","2026-04-07 03:43:10","1","Vegetative","Blue","25.1","0","55","53","345","0","0","OK","11.2","10","88"
"36","2026-04-07 03:50:10","0","Seedling","OFF","31.5","0","79","78.7","106","0","0","IDLE","3.17","35","90"
"37","2026-04-07 04:00:11","0","Seedling","OFF","31.5","0","84.5","79.1","109.9","0","0","IDLE","3.34","35","80"
"38","2026-04-07 04:10:12","0","Seedling","OFF","31.5","0","83","81.7","69.8","0","0","IDLE","3.51","35","80"
"39","2026-04-07 04:30:14","0","Seedling","OFF","31.5","0","78","79.2","0","0","0","IDLE","3.51","35","90"
"40","2026-04-07 04:50:16","0","Seedling","OFF","31.5","0","78","78.9","0","0","0","IDLE","3.51","35","90"
"41","2026-04-07 05:00:17","0","Seedling","OFF","31.5","0","82","77.9","0","0","0","IDLE","3.51","35","80"
"42","2026-04-07 05:10:18","0","Seedling","OFF","31.5","0","81","78","0","0","0","IDLE","3.51","35","80"
