"id","lat","lon","source","temp_c","humidity","wind_speed_mps","apparent_temp_c","sunrise_utc","sunset_utc","fetched_at","stored_at"
"1","13.7563","100.502","open-meteo","29","82","10.1","34.7","2026-04-19 23:02:00","2026-04-20 11:31:00","2026-04-20 17:52:48","2026-04-20 19:04:18"
"2","13.7563","100.502","open-meteo","29","82","10.1","34.7","2026-04-19 23:02:00","2026-04-20 11:31:00","2026-04-20 17:52:48","2026-04-20 19:21:50"
"3","13.7563","100.502","open-meteo","28.8","81","8.6","34.5","2026-04-19 23:02:00","2026-04-20 11:31:00","2026-04-20 19:22:37","2026-04-20 19:22:37"
"4","13.7563","100.502","open-meteo","32.5","64","8.9","39.3","2026-04-21 06:01:00","2026-04-21 18:32:00","2026-04-21 04:16:54","2026-04-21 04:24:50"
"5","13.7563","100.502","open-meteo","32.5","64","8.9","39.3","2026-04-20 23:01:00","2026-04-21 11:32:00","2026-04-21 04:18:51","2026-04-21 04:24:50"
"6","13.7563","100.502","open-meteo","32.5","64","8.9","39.3","2026-04-21 06:01:00","2026-04-21 18:32:00","2026-04-21 04:20:47","2026-04-21 04:24:50"
"7","13.7563","100.502","open-meteo","32.5","64","8.9","39.3","2026-04-21 06:01:00","2026-04-21 18:32:00","2026-04-21 04:16:54","2026-04-21 04:28:26"
"8","13.7563","100.502","open-meteo","32.5","64","8.9","39.3","2026-04-20 23:01:00","2026-04-21 11:32:00","2026-04-21 04:18:51","2026-04-21 04:28:26"
"9","13.7563","100.502","open-meteo","32.5","64","8.9","39.3","2026-04-21 06:01:00","2026-04-21 18:32:00","2026-04-21 04:20:47","2026-04-21 04:28:26"
"10","13.7563","100.502","open-meteo","32.5","64","8.9","39.3","2026-04-21 06:01:00","2026-04-21 18:32:00","2026-04-21 04:20:47","2026-04-21 04:34:47"
"11","13.7563","100.502","open-meteo","32.5","64","8.9","39.3","2026-04-21 06:01:00","2026-04-21 18:32:00","2026-04-21 04:20:47","2026-04-21 04:34:49"
"12","13.7563","100.502","open-meteo","32.5","64","8.9","39.3","2026-04-21 06:01:00","2026-04-21 18:32:00","2026-04-21 04:20:47","2026-04-21 04:35:06"
"13","13.7563","100.502","open-meteo","32.5","64","8.9","39.3","2026-04-21 06:01:00","2026-04-21 18:32:00","2026-04-21 04:20:47","2026-04-21 04:44:59"
"14","13.7563","100.502","open-meteo","32.5","64","8.9","39.3","2026-04-21 06:01:00","2026-04-21 18:32:00","2026-04-21 04:20:47","2026-04-21 04:55:55"
"15","13.7563","100.502","open-meteo","32.5","64","8.9","39.3","2026-04-21 06:01:00","2026-04-21 18:32:00","2026-04-21 04:20:47","2026-04-21 04:56:19"
"16","13.7563","100.502","open-meteo","32.5","64","8.9","39.3","2026-04-21 06:01:00","2026-04-21 18:32:00","2026-04-21 04:20:47","2026-04-21 04:56:50"
"17","13.7563","100.502","open-meteo","32.5","64","8.9","39.3","2026-04-21 06:01:00","2026-04-21 18:32:00","2026-04-21 04:20:47","2026-04-21 04:57:11"
"18","13.7563","100.502","open-meteo","32.5","64","8.9","39.3","2026-04-21 06:01:00","2026-04-21 18:32:00","2026-04-21 04:20:47","2026-04-21 04:57:15"
"19","13.7563","100.502","open-meteo","32.5","64","8.9","39.3","2026-04-21 06:01:00","2026-04-21 18:32:00","2026-04-21 04:20:47","2026-04-21 05:02:01"
"20","13.7563","100.502","open-meteo","33.7","59","10.2","40.6","2026-04-21 06:01:00","2026-04-21 18:32:00","2026-04-21 05:25:14","2026-04-21 05:25:14"
"21","13.7563","100.502","open-meteo","33.7","59","10.2","40.6","2026-04-21 06:01:00","2026-04-21 18:32:00","2026-04-21 05:25:14","2026-04-21 05:26:15"
"22","13.7563","100.502","open-meteo","33.7","59","10.2","40.6","2026-04-21 06:01:00","2026-04-21 18:32:00","2026-04-21 05:25:14","2026-04-21 05:33:38"
"23","13.7563","100.502","open-meteo","33.7","59","10.2","40.6","2026-04-21 06:01:00","2026-04-21 18:32:00","2026-04-21 05:25:14","2026-04-21 05:33:39"
"24","13.7563","100.502","open-meteo","32.5","64",NULL,NULL,NULL,NULL,"2026-04-21 04:16:54","2026-04-21 05:33:59"
