"id","lat","lon","source","ts","temp_c","humidity"
"1","13.7563","100.502","open-meteo","2026-04-13 00:00:00","28.3","89"
"2","13.7563","100.502","open-meteo","2026-04-13 01:00:00","30","76"
"3","13.7563","100.502","open-meteo","2026-04-13 02:00:00","31.8","62"
"4","13.7563","100.502","open-meteo","2026-04-13 03:00:00","33.3","57"
"5","13.7563","100.502","open-meteo","2026-04-13 04:00:00","34.9","52"
"6","13.7563","100.502","open-meteo","2026-04-13 05:00:00","36.2","45"
"7","13.7563","100.502","open-meteo","2026-04-13 06:00:00","36.5","42"
"8","13.7563","100.502","open-meteo","2026-04-13 07:00:00","36.7","36"
"9","13.7563","100.502","open-meteo","2026-04-13 08:00:00","36.7","32"
"10","13.7563","100.502","open-meteo","2026-04-13 09:00:00","35.9","36"
"11","13.7563","100.502","open-meteo","2026-04-13 10:00:00","34.5","43"
"12","13.7563","100.502","open-meteo","2026-04-13 11:00:00","32.8","51"
"13","13.7563","100.502","open-meteo","2026-04-13 12:00:00","31.6","66"
"14","13.7563","100.502","open-meteo","2026-04-13 13:00:00","30.4","75"
"15","13.7563","100.502","open-meteo","2026-04-13 14:00:00","29.8","80"
"16","13.7563","100.502","open-meteo","2026-04-13 15:00:00","29.5","83"
"17","13.7563","100.502","open-meteo","2026-04-13 16:00:00","29.2","87"
"18","13.7563","100.502","open-meteo","2026-04-13 17:00:00","29.1","86"
"19","13.7563","100.502","open-meteo","2026-04-13 18:00:00","29.6","84"
"20","13.7563","100.502","open-meteo","2026-04-13 19:00:00","29.4","85"
"21","13.7563","100.502","open-meteo","2026-04-13 20:00:00","29.2","85"
"22","13.7563","100.502","open-meteo","2026-04-13 21:00:00","28.9","86"
"23","13.7563","100.502","open-meteo","2026-04-13 22:00:00","28.7","87"
"24","13.7563","100.502","open-meteo","2026-04-13 23:00:00","28.5","89"
"25","13.7563","100.502","open-meteo","2026-04-14 00:00:00","28.9","88"
"26","13.7563","100.502","open-meteo","2026-04-14 01:00:00","30","83"
"27","13.7563","100.502","open-meteo","2026-04-14 02:00:00","31.7","69"
"28","13.7563","100.502","open-meteo","2026-04-14 03:00:00","33.1","62"
"29","13.7563","100.502","open-meteo","2026-04-14 04:00:00","34.7","55"
"30","13.7563","100.502","open-meteo","2026-04-14 05:00:00","35.9","51"
"31","13.7563","100.502","open-meteo","2026-04-14 06:00:00","37.1","46"
"32","13.7563","100.502","open-meteo","2026-04-14 07:00:00","36.7","50"
"33","13.7563","100.502","open-meteo","2026-04-14 08:00:00","36.4","48"
"34","13.7563","100.502","open-meteo","2026-04-14 09:00:00","35.7","49"
"35","13.7563","100.502","open-meteo","2026-04-14 10:00:00","34.3","56"
